식품명,칼로리,탄수화물,단백질,지방,섭취량
가리비,2358,113.97,197.08,119.08,1086g
가리비,932,20.62,142.76,27.25,706g
가리비,80,4.00,14.00,0.50,4 oz
가지,24,5.70,1.01,0.19,100g
가지,66,8.47,0.81,3.92,102g
가지,35,8.73,0.83,0.23,101g
가지구이,180,1.00,6.00,17.00,1 frank
가지구이,220,3.00,14.00,17.00,1 link
가지구이,100,2.00,6.00,7.00,1 link
가츠동,307,4.45,12.65,26.10,100g
가츠동,498,52.55,15.15,24.20,185g
가츠동,326,1.92,12.77,29.27,100g
간장,53,7.61,6.28,0.04,100g
간장,10,1.00,2.00,0.00,1 tbsp
간장,10,1.00,2.00,0.00,1 tbsp
갈비구이,890,34.00,91.00,43.00,1 serving
갈비구이,1120,59.00,76.00,62.00,1 serving
갈비구이,239,0.00,27.30,13.60,101g
갈비찜,210,4.00,17.00,15.00,4 ribs
갈비찜,282,0.00,16.12,23.58,100g
갈비찜,2992,40.53,206.90,215.49,965g
갈비탕,210,4.00,17.00,15.00,4 ribs
갈비탕,282,0.00,16.12,23.58,100g
갈비탕,2992,40.53,206.90,215.49,965g
감,70,18.59,0.58,0.19,100g
감,70,18.59,0.58,0.19,100g
감,127,33.50,0.80,0.40,100g
감귤주스,685,169.74,5.06,0.45,1489g
감귤주스,47,11.53,0.33,0.08,100g
감귤주스,162,40.20,1.20,0.10,100g
감자구이,718,96.73,11.19,33.76,482g
감자구이,168,31.30,2.68,3.88,162g
감자구이,178,33.70,3.13,3.87,173g
감자그라탕,718,96.73,11.19,33.76,482g
감자그라탕,168,31.30,2.68,3.88,162g
감자그라탕,178,33.70,3.13,3.87,173g
감자볶음,718,96.73,11.19,33.76,482g
감자볶음,168,31.30,2.68,3.88,162g
감자볶음,178,33.70,3.13,3.87,173g
감자샐러드,143,11.17,2.68,8.20,100g
감자샐러드,N/A,N/A,N/A,N/A,N/A
감자샐러드,1777,234.73,22.15,88.45,1326g
감자스프,257,34.89,9.14,8.72,598g
감자스프,320,19.00,14.00,23.00,1 cup
감자스프,210,36.00,7.00,4.00,1 serving
감자칩,160,15.00,2.00,10.00,11 chips
감자칩,547,49.74,6.56,37.47,100g
감자칩,160,15.00,1.00,11.00,17 chips
감자튀김,150,22.00,2.00,7.00,4 oz
감자튀김,267,33.60,3.88,13.64,100g
감자튀김,168,31.30,2.68,3.88,162g
거봉포도,70,0.00,6.00,5.00,1 egg
거봉포도,69,18.10,0.72,0.16,100g
거봉포도,67,17.15,0.63,0.35,100g
건자두,160,22.00,1.00,9.00,2 brownies
건자두,3432,470.67,34.68,163.53,1221g
건자두,150,2.00,14.00,10.00,1 serving
건크랜베리,54,13.52,0.00,0.10,100g
건크랜베리,47,12.46,0.14,0.04,100g
건크랜베리,1186,203.35,18.36,41.92,866g
건포도,N/A,N/A,N/A,N/A,N/A
건포도,60,14.00,0.00,0.00,2 tbsp
건포도,N/A,N/A,N/A,N/A,N/A
게맛살,N/A,N/A,N/A,N/A,N/A
게맛살,102,0.00,20.20,1.78,101g
게맛살,60,0.00,11.00,0.00,2 oz
게장,102,0.00,20.20,1.78,101g
게장,45,0.00,10.00,0.00,2 oz
게장,N/A,N/A,N/A,N/A,N/A
겨자소스,50,11.00,0.00,0.00,1 serving
겨자소스,154,6.21,0.65,14.10,63g
겨자소스,110,4.00,2.00,10.00,1 serving
경단,918,78.32,94.63,21.63,819g
경단,280,35.00,15.00,9.00,7 pieces
경단,1272,207.40,33.85,32.93,1026g
고구마,86,20.12,1.57,0.05,100g
고구마,135,23.71,2.30,3.88,120g
고구마,199,38.50,3.67,3.93,152g
고등어,2159,3.99,219.40,134.11,973g
고등어,165,0.00,19.13,9.27,99g
고등어,202,0.00,25.73,10.12,101g
고등어구이,170,0.00,22.00,9.00,1
고등어구이,2159,3.99,219.40,134.11,973g
고등어구이,2159,3.99,219.40,134.11,973g
고로케,1601,85.50,99.78,93.67,664g
고로케,376,49.84,12.28,13.94,296g
고로케,130,14.00,7.00,5.00,2 croquettes
고르곤졸라,100,1.00,6.00,8.00,1 oz
고르곤졸라,100,1.00,6.00,8.00,2 tbsp
고르곤졸라,N/A,N/A,N/A,N/A,N/A
고르곤졸라피자,353,2.34,21.40,28.74,100g
고르곤졸라피자,302,3.83,25.96,20.03,100g
고르곤졸라피자,1536,40.92,95.04,111.17,515g
고추,26,6.03,0.99,0.30,100g
고추,255,64.81,10.95,3.26,100g
고추,26,6.03,0.99,0.30,100g
고추장,80,18.28,3.88,0.64,200g
고추장,1350,47.37,75.99,96.56,649g
고추장,282,72.83,0.10,0.04,100g
고추장아찌,45,10.00,1.00,0.00,1 tbsp
고추장아찌,26,6.03,0.99,0.30,100g
고추장아찌,26,6.03,0.99,0.30,100g
고춧가루,15,2.00,1.00,0.50,1 tsp
고춧가루,N/A,N/A,N/A,N/A,N/A
고춧가루,26,6.03,0.99,0.30,100g
골드키위,61,14.66,1.14,0.52,100g
골드키위,90,21.00,1.00,0.50,1 serving
골드키위,50,13.00,1.00,0.00,1 serving
곱창전골,132,1.03,0.04,0.04,71g
곱창전골,76,4.80,4.44,4.33,100g
곱창전골,N/A,N/A,N/A,N/A,N/A
곶감,N/A,N/A,N/A,N/A,N/A
곶감,274,73.43,1.38,0.59,100g
곶감,N/A,N/A,N/A,N/A,N/A
과일주스,46,11.12,0.41,0.11,100g
과일주스,60,14.45,0.67,0.18,100g
과일주스,N/A,N/A,N/A,N/A,N/A
과일채소샐러드,51,11.84,0.60,0.77,90g
과일채소샐러드,415,87.16,8.44,4.83,488g
과일채소샐러드,73,12.05,0.76,2.93,97g
과일통조림,70,18.80,0.47,0.10,100g
과일통조림,46,11.86,0.46,0.01,100g
과일통조림,32,8.51,0.42,0.05,100g
구아바,68,14.32,2.55,0.95,100g
구아바,68,14.32,2.55,0.95,100g
구아바,45,10.00,1.00,0.50,1 guava
국수,138,25.16,4.54,2.07,101g
국수,210,43.00,8.00,0.50,1 cup
국수,261,40.25,7.26,7.85,165g
